acousticness,danceability,energy,speechiness,valence,BPM,song_title,artists,artists_url,date_added,album_cover,popularity,url,date_added_year
0.156,0.547,0.576,0.0315,0.0594,111.958,1000x,"Jarryd James,BROODS","23IZADrJHPStZ6aMxJVq3s,5r5Va4lVQ1zjEfbJSrmCsS",2021-10-19,https://i.scdn.co/image/ab67616d0000b27372ed30080466f2ce88ba2602,54,0ZJAaMYZzmnHGA6msryIWf,2021
0.191,0.614,0.653,0.0348,0.382,143.914,On A Prayer (feat. SHY Martin),"Boy In Space,SHY Martin","0xu4jAQQv7ZAqvFGdc9HgP,7eCmccnRwPmRnWPw61x6jM",2021-10-19,https://i.scdn.co/image/ab67616d0000b273e709f51a807c0de06c584772,56,3kc9fFPBuP9DX9YCv0Gi0e,2021
0.00107,0.448,0.911,0.0491,0.0305,126.021,Titanium (feat. Sia) - David Guetta & MORTEN Future Rave Remix,"David Guetta,MORTEN,Sia","1Cs0zKBU1kc0i8ypK3B9ai,19HFRWmRCl27kTk6LeqAO8,5WUlDfRSoLAfcVSX1WnrxN",2021-10-14,https://i.scdn.co/image/ab67616d0000b2730158075a94563b7e08e42f11,70,5072hCBK3Z15qRnTEzd8fy,2021
0.00228,0.717,0.972,0.195,0.496,126.055,All My Love,"Skytech,Bassjackers","4CrDEHL7ysNabeYvL3xjUX,6xQvQwZQQuq9R3TdPNbcR8",2021-10-09,https://i.scdn.co/image/ab67616d0000b273c3a27001313cd34ea4757cf8,41,7lTAz39Nam7NLQhdoQUWTW,2021
0.0124,0.738,0.926,0.0992,0.419,125.033,Diamonds,"Martin Garrix,Julian Jordan,Tinie Tempah","60d24wfXkVzDSfLS6hyCjZ,2vUCVkeZjzDcaoX4gagHdV,0Tob4H0FLtEONHU1MjpUEp",2021-10-08,https://i.scdn.co/image/ab67616d0000b273c37aaf3d53fc4f03a03bea26,63,4TA48C6sa3lRrr2hHFbePR,2021
0.00215,0.769,0.688,0.0501,0.387,130.026,Pepas - Tiësto Remix,"Farruko,Tiësto","329e4yvIujISKGKz1BZZbO,2o5jDhtHVPhrJdv3cEQ99Z",2021-10-08,https://i.scdn.co/image/ab67616d0000b273dacbbb159abfb0d7c9fb712a,73,1bFgMkoazsyZGSflpCzYm6,2021
0.104,0.607,0.859,0.0405,0.268,128.013,Where Are You Now,Stadiumx,0DRf6JJDQnRnz0Yp209CmH,2021-10-02,https://i.scdn.co/image/ab67616d0000b273137d20d2cb163d0a20062d5b,37,4tbL8AtrM4hIYATf1kKp18,2021
0.0696,0.596,0.743,0.0302,0.531,125.883,Anywhere With You,"Afrojack,Lucas & Steve,DubVision","4D75GcNG95ebPtNvoNVXhz,5wwneIFdawNgQ7GvKK29Z3,3XINWZaloea97SIRiyTJxX",2021-10-01,https://i.scdn.co/image/ab67616d0000b273815fb97e1a0010b39d06d28f,49,5MxKAr6Ui5hQ9TtjdnlmrR,2021
0.374,0.732,0.463,0.0287,0.397,95.971,It's You,Ali Gatie,4rTv3Ejc7hKMtmoBOK1B4T,2021-10-01,https://i.scdn.co/image/ab67616d0000b27350a744f0ef5c3e260d9de720,84,5DqdesEfbRyOlSS3Tf6c29,2021
0.000284,0.551,0.756,0.045,0.359,75.991,Somebody,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,2021-09-29,https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431,69,3buwFfY33H32wfZ6X9poV3,2021
